stationId	latitude	longitude
IJUNGLIN19	49.70207	6.22062
IASSEL1	49.693	6.169
IALTLI2	49.723	6.218
IGONDE5	49.69512	6.24605
IJUNGLIN18	49.69846	6.24695
IJUNGL1	49.707	6.251
IJUNGL2	49.71079	6.25533
INIDDERA39	49.68078	6.25125
IBETZD2	49.68124	6.31136
IBETZD7	49.66838	6.29889
IGROODTS5	49.66528	6.30546
IGRAUL3	49.73795	6.28694
IBLUME5	49.7419	6.28396
IBIWER2	49.70098	6.37858
IGMANTER5	49.70832	6.42136
IBIWER1	49.703	6.375
IBERBO5	49.729	6.393
ILELLI1	49.72046	6.43518
IBERBO1	49.73445	6.39228
IGREVE93	49.6828	6.44818
ITEMME1	49.688	6.469
IPALIS12	49.89454	5.08246
IBERTR11	49.85629	5.24854
IBERTR9	49.85628	5.24857
IBERTR10	49.85628	5.24857
IBERTR17	49.859	5.25
ILIBRA7	49.89616	5.38781
INEUFC5	49.86444	5.4859
ILUXEMBO7	49.85409	5.59007
IVAUXS11	49.87724	5.56188
IVAUXS9	49.87762	5.56157
IVAUXS13	49.87752	5.56198
IVAUXS10	49.88962	5.56107
IMARTE6	49.84178	5.72372
IRAMBROU2	49.80556	5.76778
IMARTE7	49.84181	5.72381
IATTER3	49.762	5.763
IFAUVI3	49.876	5.676
INIEDE143	49.757	5.907
IPLATE11	49.79391	5.93743
IKUBOR1	49.86534	5.89567
IDIEKIRC6	49.89192	5.81385
IPRIZE1	49.79499	5.95238
IPRIZERD3	49.79622	5.95474
IPRIZERD2	49.79609	5.95519
IUSELDAN3	49.7774	5.94836
IEVERL2	49.77389	5.95362
ISCHAN2	49.79155	5.9808
IVICHT1	49.79657	6.00556
IMERTZ7	49.831	6.006
IMERTZ8	49.832	6.006
IMERTZIG3	49.83201	6.00599
IMERTZ10	49.833	6.008
ICOLMA12	49.80962	6.09631
ICOLMA9	49.81035	6.09113
ILUXBISS2	49.78466	6.0761
IBISSE21	49.79422	6.06728
IBISSE2	49.7947	6.06689
IBISSE17	49.78938	6.06559
IBISSEN22	49.78252	6.06972
ISCHIE25	49.83333	6.1
IBERIN6	49.758	6.116
IETTEL2	49.85	6.095
IERMSDOR2	49.82924	6.16797
ICHRIS189	49.788	6.274
IGREVENM12	49.78658	6.27616
IDIEKIRC18	49.86393	6.17185
IGILSD9	49.867	6.183
IGILSD3	49.867	6.183
IGILSD1	49.867	6.183
IKALKE1	49.78277	6.34691
IBERDO1	49.82185	6.34444
IBERDORF6	49.82079	6.35335
IBEAUF17	49.846	6.289
IALTRI29	49.75606	6.32712
IALTRI8	49.75	6.327
IGREVENM13	49.74195	6.28399
IECHTERN11	49.8139	6.42471
IMINDE6	49.824	6.469
IBOLLE7	49.8504	6.35936
IMENNI1	49.83851	6.4753
IMOMPA1	49.753	6.464
IROSPO6	49.80449	6.50065
IPALIS6	49.964	5.185
ILIBIN7	49.977	5.252
ILIBRA2	49.928	5.36
ILIBRA4	49.99933	5.47079
IRGIONWA102	49.9239	5.67207
IVAUXS15	49.9654	5.67899
IBASTO4	49.967	5.717
IBASCH6	49.89756	5.81592
IDIEKIRC12	49.90473	5.87841
IWAHL6	49.87	5.9
IWILTZ3	49.95218	5.90069
IHEIDE240	49.88922	5.97693
IHEIDE238	49.88739	5.97698
INOCHE3	49.94826	5.95772
IHEIDE286	49.878	5.993
IBOURSCH2	49.8931	6.04172
IBOURS4	49.92	6.066
INOCHE4	49.94632	5.97503
IKIISC1	49.951	6.02
IBURDE1	49.88973	6.0823
IBURDE4	49.87858	6.07804
IBOURS2	49.91575	6.09192
IBURDE2	49.88118	6.09368
IERPELDA12	49.85747	6.11417
IDIEKIRC11	49.85149	6.11582
IDIEKI2	49.866	6.156
IDINGELD2	49.8577	6.14145
IBETTEND8	49.87943	6.22118
IBETTEND4	49.87594	6.21275
IROTHA1	49.923	6.232
IHOESD4	49.88295	6.25555
IDIEKIRC2	49.88293	6.25556
IHOMME14	49.909	6.321
IWALLE10	49.8741	6.2905
INUSBAUM2	49.89529	6.35005
IHOESD1	49.88307	6.25593
IHOESD2	49.8831	6.25586
IHOESD3	49.88293	6.2556
IWOLSF1	49.905	6.469
INIEHL1	49.95557	6.35988
IMECKEL2	49.88873	6.51581
IVIREU1	50.083	4.732
ICHOOZ2	50.102	4.80769
IRGIONWA101	50.09396	4.893
IBEAUR5	50.103	4.904
IVIROI6	50.092	4.67
IFROME17	50.12896	4.84999
IGIVET2	50.15	4.824
ICOUVI1	49.964	4.531
IROCHE81	50.11638	5.10765
IROCHE97	50.144	5.15
IHOUYE1	50.15821	5.06244
ISAINTHU7	50.02501	5.36318
ISAINT934	50.02312	5.3664
ISAINT1050	50.03	5.378
ITENNE4	50.12	5.505
IBASTO6	49.99223	5.73957
IBASTO8	50.061	5.748
ILAROC21	50.1222	5.63569
IWEIDI1	49.97435	5.93333
ILUXEMBO5	50.09647	5.86824
IPINTS3	49.9951	6.00782
IDRAUF1	50.019	6.004
IDRAUF3	50.018	6.005
IDEIFF3	50.06648	5.96267
ISTOCK652	50.07718	5.95903
IWINCRAN5	50.08333	5.95
IPARCH5	50.01151	6.05017
IKAUTE1	49.95298	6.03513
ICLERV10	50.054	6.031
IPARCHOS5	49.95536	6.10356
IPARCHOS2	50.04089	6.13104
IPREISCH2	50.0333	6.15
IPREIS2	50.03703	6.15204
INEUER2	50.01219	6.29096
IDIEKIRC17	49.94021	6.21509
IDALEI3	50.07252	6.18436
IRITTE11	49.99387	6.48892
IBICKEND2	50.03168	6.49702
IBITBU4	49.978	6.519
IBITBU3	49.977	6.544
ILASEL1	50.11297	6.46911
IHOUYE4	50.168	4.888
IHASTI11	50.19653	4.82329
IONHAY2	50.245	4.815
IHOUYET3	50.19823	4.99379
INAMURHO2	50.19878	4.99348
IROCHE106	50.1565	5.21859
IROCHE115	50.161	5.249
ICELLES6	50.22486	5.0295
IMARCH33	50.17201	5.28921
IMARCH89	50.179	5.311
IMARCH62	50.189	5.402
ILAROC13	50.134	5.536
IMARCH64	50.202	5.425
ILAROC52	50.168	5.557
ILAROCHE158	50.18167	5.575
ILAROC65	50.19102	5.55914
ILAROCHE159	50.13753	5.65285
ILAROC35	50.146	5.675
IHOUFF6	50.166	5.731
IHOUFF4	50.15866	5.78565
IHOFFE1	50.10291	5.92277
IHACHI3	50.1074	5.92328
IGOUVY8	50.142	5.906
IGOUVY5	50.1579	5.92433
IESELB1	50.06234	6.0008
IHAUTB2	50.15479	5.99237
IREULE1	50.06002	6.03512
IBREID15	50.12376	6.06288
IBREID19	50.12379	6.063
IREULE2	50.05578	6.0361
IWEISW8	50.13181	6.07197
IWEISW6	50.137	6.08
IWEISW2	50.13868	6.0769
IGROKA11	50.16214	6.20589
IPRONSFE3	50.15911	6.33681
IPRONSFE2	50.16062	6.3505
IPRONS4	50.162	6.348
IPRONSFE4	50.16155	6.3503
IPITTENB2	50.17798	6.34112
IHEISD3	50.13458	6.42867
INIMSR2	50.13141	6.45079
ISCHNE65	50.155	6.466
IDINAN13	50.27293	4.9
IANHE6	50.3091	4.82132
IMETTE10	50.27288	4.65128
ICINEY15	50.28492	5.08922
ICINEY14	50.252	5.199
ICINEY12	50.2936	5.1026
IRGIONWA134	50.21861	5.28431
IAYE4	50.21866	5.28432
IMARCH107	50.226	5.286
IMARCH84	50.22561	5.3493
IMARCH70	50.238	5.366
IMARCH60	50.238	5.37
IRENDE6	50.21684	5.47745
IRENDE7	50.21687	5.52419
IRENDE10	50.21721	5.52458
IVIELS3	50.25384	5.73548
IVIELS2	50.2539	5.73563
IVIELS1	50.25392	5.73564
IMANHA8	50.27482	5.71959
IMANHA12	50.27574	5.65695
IMANHA7	50.276	5.656
ILIERN2	50.28606	5.79375
IVIELS4	50.26087	5.94095
IVIELSAL5	50.26084	5.94288
IVIELSAL6	50.28473	5.90229
IBURGR1	50.24294	6.06377
ISANKT309	50.264	6.088
ISAINT444	50.26852	6.09399
IWINTE18	50.21318	6.20964
IWINTE8	50.212	6.217
IBLEIA1	50.23699	6.28273
IBRAND130	50.21962	6.32217
IRIJNLAN2	50.1926	6.36897
ISELLERI2	50.22924	6.37278
IPRM13	50.20209	6.41036
IPRM14	50.21	6.42
IROMME5	50.19764	6.44983
IPRM12	50.22851	6.43684
IMETTE5	50.309	4.71
IYVOIR13	50.328	4.882
IPROFO3	50.3628	4.8002
IMETTE21	50.346	4.723
IMETTE8	50.336	4.681
IMETTE9	50.336	4.68
IYVOIR19	50.317	4.968
IYVOIR16	50.315	4.971
IYVOIR6	50.33757	4.96502
IASSES3	50.364	4.937
IPROFO4	50.388	4.896
ICINEY13	50.29369	5.10274
IHAMOI9	50.31575	5.15393
IHAMOI2	50.32	5.182
IHAMOI5	50.30772	5.20995
IHAVEL27	50.37124	5.33907
IDURBU1	50.333	5.432
IMANHA3	50.313	5.688
IFERRIRE27	50.40231	5.6052
ISTOUM2	50.405	5.779
IAYWAI3	50.418	5.689
ITROIS101	50.352	5.867
ITROIS38	50.36385	5.86029
ITROIS14	50.36266	5.87578
ISANKT154	50.3229	6.01984
ISANKT184	50.32282	6.01993
ISANKT151	50.32297	6.0199
ISANKT152	50.33201	6.03573
ISANKT310	50.3332	6.03565
ISAINT478	50.292	6.065
ISAINTVI84	50.30937	6.09391
ISANKT230	50.30463	6.16663
IAMEL5	50.332	6.189
IAMBLV2	50.31777	6.25366
IAMEL6	50.35414	6.12917
IBLLIN4	50.33911	6.36986
IBLLIN6	50.40879	6.30615
IREUTH9	50.29383	6.48496
IKLEIN52	50.271	6.494
IWEINS15	50.233	6.477
IDAHLE14	50.37083	6.49006
IPROFO1	50.387	4.819
INAMUR74	50.4201	4.79949
