stationId	latitude	longitude	precipitation
IBRIQU1	49.405324	4.878868	0.3
IOMONT1	49.601989	4.733161	0.3
ICOULO5	49.440313	4.600281	0.76
ISAVIG19	49.364744	4.723761	2.01
ICHAMPAG23	49.626713	4.914683	0.76
INOUVION5	49.701	4.801438	0.25
ICHAUV3	49.540478	5.297547	1.8
IFLORE50	49.63331	5.327996	1.8
IMARVI2	49.452	5.455	3.3
IVIRTO3	49.583069	5.556281	3.3
IVIRTON5	49.532627	5.597771	1.8
IGORCY1	49.536411	5.684228	2.79
ILORRAIN78	49.514938	5.766354	2.7
IAUBANGE18	49.55764	5.797166	3.3
IHUSSIGN2	49.491146	5.860274	1.02
IRODAN1	49.54231	5.823398	3.81
IDIFFE2	49.516998	5.889	0.51
ILUXEMBO182	49.516094	5.928246	2.03
ISCHIFFL21	49.505562	6.0125	1.78
ISCHIFFL18	49.504692	6.01758	2.03
IESCHS3	49.507999	5.973	0.0
IMONDE1	49.5313	6.031536	1.52
IBETTE1	49.519001	6.059	1.5
IBETTE19	49.516651	6.104491	2.01
ILUXEMBU49	49.517651	6.105514	2.01
IROESER5	49.502453	6.135061	1.52
IBETTE17	49.519669	6.081797	1.27
IDUDELAN13	49.476959	6.096928	2.54
IABWEI1	49.533	6.077	1.5
IFRISA1	49.516	6.187	0.76
IFRISA2	49.520896	6.185674	0.71
IROUSS7	49.464	6.2	0.25
IROUSS8	49.455716	6.189093	0.25
IMONDO7	49.508	6.272	0.79
IMONDO8	49.50919	6.283179	0.3
IMONDO9	49.510534	6.283647	0.25
ISCHEN1	49.503624	6.31848	0.0
IBEYRE3	49.470319	6.309368	0.0
IBEYRE5	49.46867	6.309099	0.0
IGREVENM7	49.538357	6.284541	
IPERL24	49.507599	6.382784	0.0
IPERL27	49.506	6.376	0.0
IPERL28	49.482494	6.389545	0.0
IPERL22	49.499706	6.442106	0.0
IPERL21	49.469528	6.38105	0.0
IPERL19	49.467117	6.377461	0.0
ICHARL29	49.785	4.692	0.25
ICHINY4	49.697118	5.382964	1.6
ITALLE13	49.673051	5.667114	3.3
