stationId	latitude	longitude	precipitation
IBRIQU1	49.405324	4.878868	65.99
IOMONT1	49.601989	4.733161	42.9
ISAVIG19	49.364744	4.723761	49.0
ICHAMPAG23	49.626713	4.914683	25.65
INOUVION5	49.701	4.801438	48.26
ICHAUV3	49.540478	5.297547	48.01
IFLORE50	49.63331	5.327996	44.4
IMARVI2	49.452	5.455	78.0
IVIRTO3	49.583069	5.556281	43.51
IVIRTON5	49.532627	5.597771	52.4
IGORCY1	49.536411	5.684228	97.79
ILORRAIN78	49.514938	5.766354	55.9
IAUBANGE18	49.55764	5.797166	97.99
IHUSSIGN2	49.491146	5.860274	53.85
IRODAN1	49.54231	5.823398	24.64
IDIFFE2	49.516998	5.889	69.09
ILUXEMBO182	49.516094	5.928246	60.2
ISCHIFFL21	49.505562	6.0125	90.68
ISCHIFFL18	49.504692	6.01758	107.44
IESCHS3	49.507999	5.973	9.65
IMONDE1	49.5313	6.031536	96.27
IBETTE1	49.519001	6.059	97.0
IBETTE19	49.516651	6.104491	99.11
ILUXEMBU49	49.517651	6.105514	82.5
IROESER5	49.502453	6.135061	89.92
IBETTE17	49.519669	6.081797	81.03
IDUDELAN13	49.476959	6.096928	90.68
IABWEI1	49.533	6.077	101.09
IFRISA1	49.516	6.187	74.17
IFRISA2	49.520896	6.185674	81.61
IROUSS7	49.464	6.2	75.44
IROUSS8	49.455716	6.189093	73.41
IMONDO7	49.508	6.272	89.99
IMONDO8	49.50919	6.283179	79.5
IMONDO9	49.510534	6.283647	67.31
ISCHEN1	49.503624	6.31848	86.11
IBEYRE3	49.470319	6.309368	77.47
IPERL24	49.507599	6.382784	75.69
IPERL27	49.506	6.376	74.4
IPERL28	49.482494	6.389545	62.74
IPERL22	49.499706	6.442106	50.29
IPERL21	49.469528	6.38105	62.51
IPERL19	49.467117	6.377461	62.48
ICHARL29	49.785	4.692	35.05
ICHINY4	49.697118	5.382964	34.0
ITALLE13	49.673051	5.667114	83.59
ISAINT1137	49.620151	5.718177	70.87
IARLON63	49.685144	5.712037	77.98
IAUBANGE19	49.569817	5.776245	100.58
IARLON59	49.638974	5.772772	72.39
IMESSA1	49.632	5.806	94.49
ICLEME2	49.594051	5.871804	71.37
IBASCH1	49.573002	5.917	74.17
IBASCH3	49.562	5.918	83.31
IBASCH8	49.559	5.896	80.8
ILUXEMBU60	49.590996	5.982148	67.82
IDIPPA1	49.587	5.982	92.99
IBERTR18	49.613	6.045	34.8
ILMAMER6	49.630718	6.020388	104.7
IBERTRAN43	49.610001	6.05	128.52
IBERTR4	49.606	6.053	106.91
ILUXEM1	49.605999	6.114	156.21
ILUXEMBO85	49.621574	6.115753	86.61
ILUXEMBO110	49.59119	6.169322	135.64
ILUXEM13	49.60911	6.161629	117.09
IALZIN2	49.574165	6.165982	104.6
ILUXEM16	49.593754	6.143506	146.71
IWEILERL8	49.562305	6.219735	28.96
ICANAC1	49.602	6.266	88.39
IERSAN1	49.576221	6.275153	88.65
ICONTERN4	49.586056	6.260773	55.63
IEHNEN3	49.602	6.391	65.79
IPALZE1	49.582806	6.416789	75.69
IWINCH17	49.609719	6.430975	59.18
IWORMELD8	49.629234	6.423727	83.79
IDAMOU1	49.796	4.676	31.75
IBOGNY2	49.855276	4.729899	28.96
IVRESS2	49.852622	4.959953	99.82
IVRESS4	49.861124	4.929445	56.11
IBERTR3	49.828	5.302	58.67
ILGLIS7	49.796	5.557	73.41
IHABAY9	49.707	5.679	66.29
ILGLIS8	49.78706	5.63152	69.85
ILGLIS6	49.794396	5.65555	68.58
IATTERT9	49.719406	5.753531	53.09
IARLON60	49.691643	5.769078	89.92
IARLON64	49.682942	5.798825	89.92
IARLON61	49.687092	5.812061	72.64
IARLON65	49.67858	5.825865	25.91
IARLON17	49.673557	5.829329	97.28
IEISCH1	49.689	5.88	85.85
IHOBSC1	49.682	5.918	82.3
IHOBSC2	49.686	5.929	67.82
IHOBSCHE4	49.679348	5.922438	81.79
ISTEINFO2	49.662022	5.92557	53.09
IKOERICH15	49.669628	5.948658	80.77
IGOEBL1	49.67	5.964	91.44
IDONDE1	49.693	6.033	93.98
IHOLLE23	49.714235	6.04595	109.7
IHOLLE28	49.713597	6.047683	104.4
IKOERICH14	49.670574	5.971231	81.0
ILUXEMBO3	49.671364	6.034289	59.69
IKEHLE3	49.66663	6.029306	11.43
ILMEISPE2	49.686634	6.05738	112.52
IBROUC2	49.739	6.014	184.66
ICLAUS10	49.693881	6.068613	107.95
IGOSSE1	49.729	6.114	94.23
ISTEINSE14	49.669525	6.132354	105.92
IHEISD4	49.673682	6.141966	94.23
ILUXEMBU11	49.662422	6.080723	103.63
IJUNGLIN19	49.702068	6.220619	112.52
IALTLI2	49.723	6.218	93.98
IGONDE5	49.695117	6.246045	83.31
IJUNGL2	49.710787	6.255329	126.01
INIDDERA39	49.680775	6.251249	87.63
IGMANTER5	49.708317	6.421361	102.11
IBIWER1	49.703	6.375	96.19
IBERBO5	49.729	6.393	110.21
IGREVE93	49.6828	6.448179	92.71
ITEMME1	49.688	6.469	84.3
IBERTR11	49.856292	5.248538	84.58
IBERTR17	49.859	5.25	83.01
INEUFC5	49.864438	5.485897	67.06
ILUXEMBO7	49.854092	5.590065	41.15
IATTER3	49.762	5.763	65.0
IFAUVI3	49.876	5.676	69.09
INIEDE143	49.757	5.907	76.45
IDIEKIRC6	49.891918	5.813851	38.0
IPRIZE1	49.794987	5.95238	68.81
IPRIZERD2	49.796089	5.955194	48.51
IUSELDAN3	49.777401	5.948361	76.71
ISCHAN2	49.791554	5.980799	95.5
IVICHT1	49.796574	6.005562	78.74
IMERTZIG3	49.832005	6.005986	72.9
IMERTZ10	49.833	6.008	88.6
ICOLMA12	49.809617	6.096312	113.51
ICOLMA9	49.810345	6.09113	81.53
IBISSE17	49.789378	6.065594	97.1
IBERIN6	49.758	6.116	107.9
IETTEL2	49.85	6.095	64.77
ICHRIS189	49.788	6.274	114.81
IGREVENM12	49.786579	6.276158	106.4
IGILSD9	49.867	6.183	84.58
IKALKE1	49.782768	6.34691	98.81
IBERDO1	49.821848	6.344439	92.46
IGREVENM13	49.741951	6.283994	74.42
IMINDE6	49.824	6.469	103.81
IMOMPA1	49.753	6.464	78.99
IROSPO6	49.804493	6.50065	86.21
IPALIS6	49.964	5.185	82.55
ILIBRA2	49.928001	5.36	80.01
ILIBRA4	49.999334	5.47079	94.69
IVAUXS15	49.965397	5.678987	85.09
IBASTO4	49.967	5.717	84.61
IBASCH6	49.897559	5.815921	65.28
IWAHL6	49.869999	5.9	6.6
IHEIDE240	49.889224	5.976934	86.41
IHEIDE238	49.887393	5.976981	70.36
INOCHE3	49.948255	5.957723	71.4
INOCHE4	49.946324	5.97503	89.1
IKIISC1	49.951	6.02	97.0
IDIEKIRC11	49.85149	6.115816	79.5
IDIEKI2	49.866	6.156	77.98
IDINGELD2	49.857697	6.141451	95.0
IBETTEND8	49.879429	6.221175	94.74
IBETTEND4	49.875938	6.212749	108.97
IHOESD4	49.882949	6.255554	74.8
IWALLE10	49.8741	6.2905	100.33
INUSBAUM2	49.895294	6.350045	94.23
INIEHL1	49.955574	6.359881	100.81
IMECKEL2	49.888733	6.515806	100.33
IBEAUR5	50.103	4.904	34.29
IVIROI6	50.092	4.67	24.89
IFROME17	50.128963	4.849992	32.0
IROCHE81	50.11638	5.107647	74.4
IROCHE97	50.144	5.15	64.8
IHOUYE1	50.158211	5.062436	40.89
ISAINTHU7	50.025009	5.363176	95.0
ISAINT1050	50.03	5.378	104.9
ITENNE4	50.12	5.505	102.36
IBASTO8	50.061	5.748	89.6
ILAROC21	50.122201	5.635687	95.5
IWEIDI1	49.974354	5.933325	49.61
ILUXEMBO5	50.09647	5.868244	96.27
IPINTS3	49.995096	6.007815	78.0
IDRAUF1	50.019	6.004	70.36
IDEIFF3	50.066475	5.962674	82.8
IWINCRAN5	50.083328	5.95	80.77
IPARCH5	50.011513	6.050169	86.31
IPREISCH2	50.033298	6.15	93.22
IPREIS2	50.037025	6.152035	75.18
INEUER2	50.012189	6.290961	49.28
IDIEKIRC17	49.940208	6.215091	88.14
IDALEI3	50.072523	6.184356	90.2
IRITTE11	49.993874	6.48892	92.71
IBITBU4	49.978001	6.519	87.38
ILASEL1	50.112965	6.469108	104.19
IHASTI11	50.196533	4.823289	28.5
INAMURHO2	50.19878	4.993482	29.97
IMARCH89	50.179	5.311	84.1
IMARCH62	50.189	5.402	60.5
IMARCH64	50.202	5.425	129.79
ILAROCHE158	50.181671	5.575	143.0
ILAROCHE159	50.137531	5.652853	95.61
ILAROC35	50.146	5.675	91.69
IHOUFF4	50.158657	5.785647	97.1
IHOFFE1	50.102909	5.922765	93.73
IGOUVY8	50.142	5.906	105.16
IESELB1	50.062337	6.000803	85.09
IREULE1	50.060021	6.035119	74.7
IREULE2	50.055778	6.036101	81.31
IWEISW2	50.138683	6.0769	74.17
IGROKA11	50.162142	6.205891	105.89
IPRONSFE3	50.159107	6.336806	121.92
IPRONSFE2	50.160618	6.350501	126.01
